duration,avg_vote,votes,revenue_with_CPI,converted_budget,dir_oscar_nomination,writer_oscar_nomination,cast_globe_nomination,BAFTA_act_nom,BAFTA_dir_nom,BAFTA_writer_nom,dir_emmy_nom,writer_emmy_nom,act_emmy_nom,actors_films_before,director_films_before,writers_films_before,genre,language,production_company,month_published
83.0,6.3,191.0,59150022.5,29704726.2,0,2,0,0,0,0,0,0,0,5,1,3,"Drama, History, Mystery",English,MGM,5
94.0,7.0,936.0,160697401.7,35557811.2,0,2,0,0,0,0,0,0,0,5,1,0,"Crime, Film-Noir, Romance",English,Paramount,6
61.0,6.4,162.0,48692890.4,24247876.6,0,0,0,0,0,0,0,0,0,1,0,0,"Music, War, Western",English,Paramount,9
85.0,6.1,121.0,43260665.1,11149204.3,0,1,0,0,0,0,0,0,0,0,1,0,"Crime, Drama",English,Other,12
104.0,7.1,5180.0,226926.8,43808268.4,2,2,0,0,0,0,0,0,0,7,1,1,"Drama, History, Romance",English,Twentieth Century Fox,11
83.0,6.9,1170.0,211068.2,13295809.5,2,0,0,0,0,0,0,0,0,10,1,1,"Comedy, Romance",English,RKO,9
238.0,8.1,269664.0,8813184891.0,87112741.8,2,3,0,0,0,0,0,0,0,2,3,5,"Drama, History, Romance",English,Other,9
75.0,6.8,355.0,8813184891.0,87616536.8,0,0,0,0,0,0,0,0,0,8,0,0,Comedy,English,Sony,6
105.0,7.1,231.0,61484904.7,41946417.0,0,0,0,0,0,0,0,0,0,0,0,0,Drama,Other,Other,12
98.0,6.4,539.0,149578981.7,39145984.5,2,3,0,0,0,0,0,0,0,4,5,2,"Drama, Romance",English,MGM,2
106.0,7.0,3691.0,75437.8,35046614.7,1,0,0,0,0,0,0,0,0,2,1,1,"Biography, Crime, Drama",English,Twentieth Century Fox,6
93.0,7.8,6103.0,773675.9,35046614.7,0,0,0,0,0,0,0,0,0,0,0,0,"Crime, Drama, Romance",French,Other,8
129.0,8.1,100206.0,3170360.6,41617855.0,5,2,0,0,0,0,0,0,0,6,2,0,"Comedy, Drama",English,Sony,5
71.0,6.1,632.0,210279688.4,32856201.3,0,0,0,0,0,0,0,0,0,5,2,0,Mystery,English,MGM,8
108.0,6.5,246.0,49919521.9,29899143.2,0,0,0,0,0,0,0,0,0,6,0,0,"Biography, Drama, War",English,Other,9
97.0,6.4,266.0,24176841.5,11639287.4,0,1,0,0,0,0,0,0,0,2,2,1,"Drama, History, Romance",English,MGM,1
78.0,6.4,259.0,39975044.9,26197344.5,0,0,0,0,0,0,0,0,0,4,0,0,Drama,English,MGM,6
102.0,8.0,357418.0,572147770.0,60827780.7,2,0,0,0,0,0,0,0,0,1,1,0,"Adventure, Family, Fantasy",English,MGM,4
