duration,converted_budget,dir_oscar_nomination,writer_oscar_nomination,cast_globe_nomination,BAFTA_act_nom,BAFTA_dir_nom,BAFTA_writer_nom,dir_emmy_nom,writer_emmy_nom,act_emmy_nom,actors_films_before,director_films_before,writers_films_before,genre,language,production_company,month_published,revenue_cluster
133.0,36974178.6,1,0,0,0,0,0,0,0,0,8,0,1,"Comedy, Drama",English,MGM,9,1
104.0,36974178.6,2,7,0,0,0,0,0,0,0,1,0,1,"Drama, Romance",English,MGM,4,0
69.0,9482027.4,0,1,0,0,0,0,0,0,0,0,2,0,"Comedy, Romance",English,Warner,4,2
68.0,34796430.7,0,0,0,0,0,0,0,0,0,2,0,0,"Comedy, Mystery, Thriller",English,Other,7,2
125.0,49584913.7,0,0,0,0,0,0,0,0,0,0,0,0,"Animation, Family, Fantasy",English,Disney,4,2
68.0,49584913.7,0,0,0,0,0,0,0,0,0,7,3,1,"Crime, Mystery, Thriller",English,MGM,1,2
125.0,17398215.3,0,1,0,0,0,0,0,0,0,10,6,6,"Comedy, Drama, War",English,Other,2,0
82.0,43495538.4,0,1,0,0,0,0,0,0,0,4,0,2,Comedy,English,Paramount,8,2
89.0,15527146.0,0,0,0,0,0,0,0,0,0,4,0,0,"Drama, Thriller",English,Universal,4,0
101.0,5851498.3,0,0,0,0,0,0,0,0,0,7,1,0,"Comedy, Musical, Romance",English,Other,5,0
94.0,21747769.2,0,0,0,0,0,0,0,0,0,7,2,0,"Action, Adventure, Romance",English,Twentieth Century Fox,11,3
88.0,56544199.9,0,0,0,0,0,0,0,0,0,5,0,0,"Animation, Comedy, Family",English,Disney,9,2
75.0,53792190.2,0,0,0,0,0,0,0,0,0,5,0,0,"Comedy, Romance",English,RKO,3,2
130.0,28011126.7,1,1,0,0,0,0,0,0,0,4,0,0,"Drama, Mystery, Romance",English,Other,4,1
94.0,28011126.7,0,1,0,0,0,0,0,0,0,8,0,1,"Comedy, Drama, Romance",English,Paramount,1,2
84.0,36971207.6,0,0,0,0,0,0,0,0,0,7,0,0,"Comedy, Romance, Musical",English,Other,1,0
96.0,11722047.6,0,3,0,0,0,0,0,0,0,8,0,4,"Drama, Romance",English,RKO,10,0
94.0,24392689.3,0,0,0,0,0,0,0,0,0,1,0,0,Comedy,French,Other,5,0
80.0,26097323.0,0,1,0,0,0,0,0,0,0,4,0,0,"Drama, Romance",English,MGM,7,0
60.0,931018.7,0,0,0,0,0,0,0,0,0,2,2,0,"Action, Adventure, Music",English,RKO,10,0
119.0,17373367.1,1,2,0,0,0,0,0,0,0,0,0,1,"Drama, Mystery",English,RKO,4,0
74.0,17373367.1,0,0,0,0,0,0,0,0,0,7,0,0,"Crime, Drama, Mystery",English,Other,3,2
64.0,19654838.7,0,0,0,0,0,0,0,0,0,3,2,2,"Animation, Drama, Family",English,Disney,6,3
69.0,16799714.8,0,0,0,0,0,0,0,0,0,6,1,0,"Adventure, Crime, Mystery",English,Other,3,0
71.0,25861629.9,0,0,0,0,0,0,0,0,0,3,0,0,Mystery,English,Other,11,2
94.0,18411411.5,0,0,0,0,0,0,0,0,0,0,0,0,Drama,English,Other,6,0
100.0,7758489.0,0,3,0,0,0,0,0,0,0,8,0,1,"Film-Noir, Mystery",English,Warner,10,3
82.0,7758489.0,0,0,0,0,0,0,0,0,0,9,0,1,"Comedy, Crime, Drama",English,Paramount,3,0
67.0,13858466.3,0,0,0,0,0,0,0,0,0,4,0,0,"Comedy, Crime, Mystery",English,MGM,4,0
100.0,20962754.4,3,0,0,0,0,0,0,0,0,4,2,0,"Adventure, Drama",English,Warner,3,1
134.0,28965025.5,1,2,0,0,0,0,0,0,0,8,1,0,"Biography, Drama, History",English,Warner,9,2
97.0,28965025.5,0,0,0,0,0,0,0,0,0,5,4,1,"Comedy, Crime, Mystery",English,MGM,11,2
64.0,16985918.5,0,1,0,0,0,0,0,0,0,3,0,1,"Drama, Mystery, Romance",English,Warner,3,0
90.0,14268688.8,0,1,0,0,0,0,0,0,0,7,1,3,"Adventure, Comedy, Drama",English,Paramount,2,1
86.0,14482512.7,0,0,0,0,0,0,0,0,0,1,1,2,"Comedy, Musical, Romance",English,Twentieth Century Fox,8,0
87.0,22820302.2,0,0,0,0,0,0,0,0,0,0,0,0,"Musical, Romance",Russian,Other,11,2
88.0,16675578.9,0,0,0,0,0,0,0,0,0,10,1,0,"Comedy, Fantasy, Mystery",English,Other,3,0
67.0,4476489.8,0,0,0,0,0,0,0,0,0,8,0,1,"Drama, Mystery",English,Sony,4,0
71.0,6882603.1,0,0,0,0,0,0,0,0,0,0,0,0,"Drama, Family",Portuguese,Other,12,0
58.0,16875713.7,0,0,0,0,0,0,0,0,0,2,0,1,"Action, Adventure, Comedy",English,Other,9,2
84.0,14858722.9,0,0,0,0,0,0,0,0,0,0,0,0,Drama,Italian,Other,4,2
88.0,7777901.0,0,0,0,0,0,0,0,0,0,13,0,0,"Drama, Music, Romance",English,RKO,9,0
74.0,27862418.6,0,0,0,0,0,0,0,0,0,3,0,0,Comedy,English,Sony,1,2
